TotalToDos,TotalTasksAssigned,TotalTasksCompleted,TotalChecklistsAssigned,TotalChecklistsCompleted,TotalInfractions,TotalShiftSubmissionsCreated,TotalShiftSubmissionsCompleted,SetupsCreated,TotalBreaksRan,TotalCreatedPlays,TotalWastedItems,FirstWasteDate,TotalWastedItemsAllTime,TopPerformances,10PointRecognition,25PointRecognition,50PointRecognition,TotalRewardsRedeemed,TenantID,StoreName,StoreNumber,WasteOnly,CreationDate,State
620,1,1,134,47,24,162,56,104,121,8,455,2023-05-03 22:13:31,455,56,12,4,5,0,AXlmJiYBlrgTIMJ44hig,Kettering FSU,03697,false,2023-04-28 16:47:12,
9,0,0,4,1,0,2,0,1,0,0,2,2023-05-18 15:32:03,2,0,0,0,0,0,AZJ0w7UIqx7VrOQtVQji,Parkway Village FSU,03111,false,2023-05-12 19:43:13,
0,0,0,0,0,0,0,0,0,0,0,,2023-01-05 09:02:07,171,1,0,0,0,0,b2h9gRxcOQK9GAQJsMQc,LakePoint,03302,false,2023-01-02 19:16:16,GA
752,62,122,514,245,1,219,83,72,10,5,5924,2023-01-02 11:00:26,12709,100,18,1,6,4,BNQMFPGD1AMPQH7YHM0I,Poway,03812,false,2023-01-01 04:45:39,CA
5,3,3,1,1,1,0,0,0,0,0,242,2023-03-09 14:47:51,254,0,0,1,0,0,bs5pyoWH5AkSAQJky1TF,Lake Mary Blvd,00869,false,2023-03-08 19:47:07,
444,3,6,400,139,10,1,0,106,99,14,579,2023-05-03 12:40:12,579,0,2,0,0,0,bXbUpCxUgOXrqM825wpu,Chick-fil-A Cedartown,05282,false,2023-05-01 17:40:43,
1213,108,161,859,546,0,109,1,507,741,33,6010,2023-01-11 13:30:08,18780,5,22,4,6,0,bYayz6hTqqgI5rQfidWS,Camelback & 16th Street,03191,false,2023-01-10 03:19:20,AZ
140,0,0,8,4,230,3,0,196,2545,10,2151,2023-03-08 13:17:01,2183,0,114,17,54,1,c9ViHeyUjHyIoyDsmDeJ,Chick-fil-A Highway 66,05047,false,2023-02-22 16:07:14,
618,4,4,244,119,0,216,18,167,0,14,3526,2023-04-09 12:54:02,3870,18,5,0,0,0,cBQV4qcjZGkInVQyLxqA,MacCorkle Ave FSU,04302,false,2023-03-27 01:37:02,
158,0,0,51,42,20,48,18,0,0,0,5725,2023-02-07 14:14:47,11231,45,76,9,2,0,ccb6AJ5kWCGoMJU57vsz,601 West 181st - In Line,04663,false,2023-02-03 00:23:19,NY
17,0,2,14,4,6,0,0,4,36,0,16263,2023-02-24 10:50:02,16278,0,1,0,0,0,CCH2U6Eej5Uc4N4yTCJG,Princeton FSU,03447,false,2023-02-11 16:56:37,WV
0,0,0,0,0,0,0,0,0,0,0,,2022-02-16 09:38:54,12,82,8,1,6,0,CFA_00851,South Cooper St,00851,false,2022-10-22 12:29:19,TX
0,0,0,0,0,0,0,0,0,0,0,,2022-05-19 08:26:46,9080,0,0,0,0,0,CFA_01489,Wards Road,01489,true,2022-10-22 12:29:19,VA
801,51,69,519,241,10,181,44,26,0,15,8525.25,2022-03-31 08:32:10,36466.730000168085,677,506,25,4,199,CFA_03470,N. Tarrant Pkwy,03470,false,2022-10-22 12:29:19,TX
2000,36,68,1211,857,370,232,97,136,15,22,6101,2022-01-13 15:30:57,47235,1347,89,128,400,32,CFA_03750,White Rock,03750,false,2022-10-22 12:29:19,TX
1627,176,181,858,648,75,336,112,562,913,19,1804,2022-02-09 11:45:41,53349,202,49,8,3,0,CFA_03925,Saginaw,03925,false,2022-10-22 12:29:19,TX
1414,67,69,1043,938,151,94,52,58,0,2,2063,2022-02-02 10:14:05,11267,316,43,29,153,9,CFA_03981,Spring Creek,03981,false,2022-10-22 12:29:19,TX
1029,0,0,293,241,85,246,184,395,1,25,12900,2022-02-08 16:24:49,83923,1631,9,0,11,0,CFA_04063,288 & Southfork,04063,false,2022-10-22 12:29:19,TX
0,0,0,0,0,0,0,0,0,0,0,14286,2022-03-11 14:42:01,125722,0,0,0,0,0,CFA_04101,Crater Lake & Pacific Hwy,04101,false,2022-10-22 12:29:19,OR
912,166,181,541,438,69,103,37,99,4,21,13473.5,2022-02-17 12:11:57,52262,402,47,17,6,9,CFA_04193,Sulphur Springs,04193,false,2022-10-22 12:29:19,TX
766,0,0,762,491,0,4,0,2,0,2,2034,2022-03-05 00:00:48,8339,7,61,40,4,0,CFA_04194,Rojas FSU,04194,false,2022-10-22 12:29:19,TX
1567,108,141,1172,594,26,135,10,84,51,21,1299,2022-03-26 01:39:58,5680,34,164,218,235,252,CFA_04498,Southlake,00498,false,2022-10-22 12:29:19,TX
0,0,0,0,0,0,0,0,0,0,0,,2022-06-30 12:36:38,18768,0,0,0,0,0,CFA_105061941,Clemmons FSU,03617,false,2022-10-22 12:29:19,NC
5029,2000,2402,1266,1055,232,589,388,419,18,242,4789,2022-12-15 01:27:31,6792,720,273,210,348,13,CFA_124230294,Georgia Street FSR,02811,false,2022-12-08 20:24:41,TX
1801,203,207,1468,1208,53,0,0,220,1182,21,11753,2022-12-28 22:09:59,17440.5,0,218,420,112,12,CFA_128184066,Hutto,04064,false,2022-12-23 13:13:06,TX
0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,CFA_138404846,Grapevine Mills,00657,false,2022-12-08 06:40:42,TX
0,0,0,0,0,0,0,0,0,0,0,,2022-06-30 17:09:49,11458,0,0,0,0,0,CFA_163076851,Hawks Creek,02050,true,2022-10-22 12:29:19,TX
711,115,120,575,465,172,0,0,345,6,35,27849.389999866486,2022-11-30 05:16:37,72334.9300019741,9,1,0,2,0,CFA_168141719,Enfield,03432,false,2022-11-29 03:20:43,CT
350,0,0,119,67,37,130,49,0,0,1,34895,2022-12-02 13:40:35,98989,85,0,0,0,0,CFA_178549524,Parma ,04177,false,2022-12-02 18:11:41,OH
977,4,4,394,281,57,253,177,172,82,16,20378,2023-01-11 17:39:36,39242,280,30,11,6,1,CFA_183672522,Grand Rapids South,03769,false,2022-12-30 20:46:41,MI
42,0,0,3,1,90,0,0,0,0,0,27,2022-12-31 13:59:53,75,0,1,0,0,0,CFA_187555889,Albemarle ,04251,false,2022-12-29 16:07:31,NC
0,0,0,0,0,0,0,0,0,0,20,,2023-01-03 14:20:00,355,5,11,1,0,19,CFA_191749934,Marshall FSU,04667,false,2022-12-01 19:19:58,TX
0,0,0,0,0,0,0,0,0,0,0,662,2022-10-13 18:36:54,9176,0,0,1,0,0,CFA_203184308,Seekonk FSU,03372,true,2022-10-22 12:29:19,MA
2700,57,62,1969,1411,90,263,133,177,379,40,1540,2023-01-09 15:24:09,3117,173,21,5,0,25,CFA_214133742,Wentzville FSU,02662,false,2022-12-12 20:20:36,MO
2723,359,359,1977,1881,127,275,138,112,2,9,387,2022-11-16 18:28:24,1670,403,106,72,64,32,CFA_217631044,Westheimer and Fondren,01895,false,2022-11-16 20:21:41,TX
2210,92,94,1571,1333,28,272,255,351,376,19,5651,2023-01-03 15:47:40,27183,558,187,186,48,11,CFA_228184438,Blue Springs,02713,false,2022-12-28 16:47:54,MO
1466,6,7,1005,896,178,220,13,743,670,6,8925,2022-12-26 09:49:13,21179,49,0,0,0,0,CFA_228536183,Columbus National,03659,false,2022-12-16 14:55:28,IN
